district_name,real_estate_area,real_estate_age,total_rooms,price,price_per_meter,real_estate_agencey,floor,elevator,parking,warehouse,units_per_floor,document,building_direction,unit_status,facilities
قلهک,۱۲۵,۱۳۹۹,۳,۱۸٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۸٬۰۰۰٬۰۰۰ تومان,مشاورین مسکن خورشید,۳ از ۴,True,True,True,۱,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
کوی فردوس,۶۵,۱۳۸۲,۲,۵٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۸۱٬۵۳۸٬۰۰۰ تومان,پایتخت سازمان برنامه,۳ از ۴,,True,True,۴,تک‌برگ,جنوبی,بازسازی شده,"آسانسور ندارد,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
زعفرانیه,۱۶۰,۱۳۸۴,۳,۲۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۵٬۰۰۰٬۰۰۰ تومان,تشریفات,۴,True,True,True,,,,,
الهیه,۲۱۸,۱۳۹۰,۳,۳۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۶۹٬۷۲۵٬۰۰۰ تومان,املاک کبیر,۳ از ۵,True,True,True,۲,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
زعفرانیه,۱۵۰,۱۳۹۴,۳,۳۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۰۶٬۶۶۷٬۰۰۰ تومان,املاک آدم و حوا,۵ از ۵,True,True,True,۲,منگوله‌دار,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
فرمانیه,۲۵۰,۱۳۸۵,۴,۴۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۶۰٬۰۰۰٬۰۰۰ تومان,آذرمینا,۱,True,True,True,,,,,
مسعودیه,۵۷,۱۳۸۵,۱,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۰۸۸٬۰۰۰ تومان,,۴ از ۴,True,True,True,۴,تک‌برگ,جنوبی,,"آسانسور,پارکینگ"
جنت‌آباد شمالی,۸۶,۱۳۹۹,۲,۸٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۹۶٬۵۱۲٬۰۰۰ تومان,فردشهران,۱ از ۵,True,True,True,۲,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر گازی,گرمایش شوفاژ"
نواب,۴۵,۱۳۸۰,۱,۲٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۵۵۶٬۰۰۰ تومان,,۱,True,True,,,,,,
زعفرانیه,۱۶۰,۱۴۰۰,۳,۵۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۱۲٬۵۰۰٬۰۰۰ تومان,دیپلمات زعفرانیه,۸ از ۱۰,True,True,True,۱,تک‌برگ,,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش فن کوئل,گرمایش فن کوئل"
عباس‌آباد,,۱۴۰۱,,۲۷۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۲۵٬۰۲۰٬۰۰۰ تومان,,,,True,,,سایر,جنوبی,,"پارکینگ,انباری ندارد,بالکن ندارد,جنس کف سرامیک,سرویس بهداشتی فرنگی,سرمایش داکت اسپلیت"
نیاوران,۹۰,۱۳۸۰,۲,۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۰٬۰۰۰٬۰۰۰ تومان,شایگان وی آی پی,۲ از ۵,True,True,True,۲,تک‌برگ,,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن"
تسلیحات,۳۶,۱۳۹۳,۱,۲٬۵۴۹٬۰۰۰٬۰۰۰ تومان,۷۰٬۸۰۶٬۰۰۰ تومان,گروه بزرگ کوچ,۳,,True,True,,,,,
دریاچه شهدای خلیج فارس,۱۱۰,۱۴۰۲,۲,۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۶٬۳۶۴٬۰۰۰ تومان,,۱۰ از ۱۴,True,True,True,۴,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
افسریه,۸۷,۱۴۰۰,۲,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۹۸۹٬۰۰۰ تومان,,۴ از ۱۴,True,True,True,۴,سایر,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
جنت‌آباد شمالی,۴۱,۱۳۸۷,۱,۳٬۳۸۰٬۰۰۰٬۰۰۰ تومان,۸۲٬۴۳۹٬۰۰۰ تومان,املاک بزرگ آرتا,۲,,True,,,,,,
پیروزی,۷۳,۱۴۰۲,۱,۷٬۶۶۰٬۰۰۰٬۰۰۰ تومان,۱۰۴٬۹۳۲٬۰۰۰ تومان,,۲,True,True,True,,,,,
پونک,۱۰۰,۱۴۰۱,۲,۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۵٬۰۰۰٬۰۰۰ تومان,املاک فلات,۳,True,True,True,,,,,"آسانسور,پارکینگ,انباری,بالکن,سرمایش داکت اسپلیت"
شمس‌آباد,,,,۳۶٬۲۱۰٬۰۰۰٬۰۰۰ تومان,۲۱۳٬۰۰۰٬۰۰۰ تومان,املاک بزرگ ماکان,,,,,,,,,
شهرک دانشگاه تهران,۱۴۰,۱۴۰۲,۳,۴٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۰۰۰٬۰۰۰ تومان,,۶,True,True,True,,,,,
فلاح,۵۸,۱۴۰۰,۱,۳٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۵۸٬۶۲۱٬۰۰۰ تومان,مسکن امیر,۱ از ۵,True,True,True,۱,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
پونک,۸۰,۱۳۹۱,۲,۱۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۲۵٬۰۰۰٬۰۰۰ تومان,,۵ از ۵,True,True,True,۴,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی"
پاسداران,۱۱۰,۱۳۹۹,۲,۱۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۴٬۵۴۵٬۰۰۰ تومان,مهندسین مشاور آریان,۵ از ۵,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
یوسف‌آباد,۱۲۷,۱۳۷۹,۴,۹٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۷۶٬۳۷۸٬۰۰۰ تومان,,۴,,,True,,,,,
سیدخندان,۱۰۵,۱۴۰۱,۳,۱۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۹٬۵۲۴٬۰۰۰ تومان,مهندسین مشاور آریان,۲ از ۴,True,True,True,۱,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
کوی فردوس,۷۶,۱۳۸۸,۲,۵٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۷۶٬۳۱۶٬۰۰۰ تومان,,۵ از ۵,True,True,True,۴,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف پارکت لمینت,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
بریانک,۶۵,۱۳۸۰,۲,۳٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۷۶۹٬۰۰۰ تومان,سام‌ با پنج شعبه فعال,۲ از ۳,,True,True,۱,تک‌برگ,غربی,بازسازی شده,"آسانسور ندارد,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش بخاری"
الهیه,۳۰۳,۱۴۰۲,۴,۷۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۴۷٬۵۲۵٬۰۰۰ تومان,املاک فلت,۱۰ از ۱۲,True,True,True,۱,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ"
سعادت‌آباد,۸۳,۱۳۸۸,۲,۱۲٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۱۴۸٬۷۹۵٬۰۰۰ تومان,گروه مشاورين املاک كارما,۲,True,True,True,,,,,
اندیشه (شهر زیبا),۱۷۲,۱۳۹۸,۲,۱۵٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۹۰٬۶۹۸٬۰۰۰ تومان,,۲ از ۴,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر گازی,گرمایش از کف"
مرزداران,۱۵۰,۱۳۸۷,۳,۱۸٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۱۲۴٬۶۶۷٬۰۰۰ تومان,سيب,۲ از ۵,True,True,True,۱,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر گازی,گرمایش شوفاژ"
دریاچه شهدای خلیج فارس,۵۵,۱۴۰۲,۱,۳٬۲۴۰٬۰۰۰٬۰۰۰ تومان,۵۸٬۹۰۹٬۰۰۰ تومان,کارگزاری رسمی پروژه های منطقه,۱۹,True,True,True,,,,,
نارمک,,,,۴۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۳۰٬۰۰۰٬۰۰۰ تومان,آماج,,,,,,,,,
نارمک,,,,۳۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۰٬۰۰۰٬۰۰۰ تومان,آماج,,,,,,,,,
پلیس,۸۸,۱۳۸۲,۲,۷٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۸۷٬۵۰۰٬۰۰۰ تومان,مسکن بزرگ الماس پلاس,همکف از ۵,,True,True,۲,تک‌برگ,,بازسازی شده,"آسانسور ندارد,پارکینگ"
زعفرانیه,۲۲۰,۱۳۸۶,۴,۴۸٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۲۲۰٬۰۰۰٬۰۰۰ تومان,املاک آدم و حوا,۶ از ۸,True,True,True,۲,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی فرنگی,سرمایش فن کوئل,گرمایش فن کوئل"
آرژانتین,۱۵۵,۱۳۷۳,۳,۱۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰٬۰۰۰ تومان,گروه مشاورین املاک راد,۱,True,True,True,,,,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف کف‌پوش PVC,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
نارمک,۱۰۰,۱۳۸۷,۲,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۵٬۰۰۰٬۰۰۰ تومان,آماج,۴,True,True,True,,,,,
امیریه,۴۷,۱۳۸۲,۱,۲٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۸۷۲٬۰۰۰ تومان,,۲,,,,,,,,
چیتگر,۲۰,۱۴۰۲,۲,۵۳۵٬۰۰۰٬۰۰۰ تومان,۲۶٬۷۵۰٬۰۰۰ تومان,گروه مشاورین املاک صبا,۱۱,True,True,True,,,,,
نارمک,,,,۲۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۴٬۴۴۴٬۰۰۰ تومان,آماج,,,,,,,,,
سازمان برنامه,۸۰,۱۳۹۱,۲,۸٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۸٬۷۵۰٬۰۰۰ تومان,املاک سلطان,۵ از ۵,True,True,True,۳,تک‌برگ,,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف پارکت لمینت"
دریاچه شهدای خلیج فارس,۵۰,۱۴۰۱,۲,۱٬۱۳۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۶۰۰٬۰۰۰ تومان,گروه مشاورین املاک صبا,۲۴,True,True,True,,,,,"آسانسور,پارکینگ,انباری,بالکن"
پونک,۸۲,۱۳۹۲,۲,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۷۹٬۲۶۸٬۰۰۰ تومان,اوپال,۴ از ۵,True,True,True,۲,تک‌برگ,,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی"
اختیاریه,۱۶۷,۱۳۹۰,۳,۲۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۰٬۷۱۹٬۰۰۰ تومان,ماهان پاسداران,۶ از ۶,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
نارمک,۱۲۰,۱۴۰۲,۳,۱۸٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۵٬۰۰۰٬۰۰۰ تومان,آماج,۲,True,True,True,,,,,
شمس‌آباد,۱۳۰,۱۴۰۲,۳,۱۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۵٬۳۸۵٬۰۰۰ تومان,کلید,۲,True,True,True,,,,,
ولنجک,۱۹۵,۱۳۸۰,۳,۴٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۱٬۵۳۸٬۰۰۰ تومان,نماد زعفرانیه,۶ از ۱۲,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش فن کوئل,گرمایش فن کوئل"
کوهک,۱۳۶,۱۴۰۰,۳,۱۳٬۸۷۲٬۰۰۰٬۰۰۰ تومان,۱۰۲٬۰۰۰٬۰۰۰ تومان,دفتر فروش برج,۶ از ۱۵,True,True,True,۵,,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش فن کوئل,گرمایش فن کوئل"
تهران‌سر,۶۵,۱۳۸۶,۲,۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۳۸۵٬۰۰۰ تومان,,۱,,,True,,,,,
سبلان,۴۱,۱۳۹۴,۱,۱٬۸۹۵٬۰۰۰٬۰۰۰ تومان,۴۶٬۲۲۰٬۰۰۰ تومان,گروه بزرگ کوچ,۴ از ۴,,,True,۱,تک‌برگ,,,"آسانسور ندارد,پارکینگ ندارد"
صادقیه,۱۵۱,۱۳۹۶,۳,۱۳٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۹۱٬۷۲۲٬۰۰۰ تومان,فرتاک,۲ از ۵,True,True,True,۱,تک‌برگ,,,"آسانسور,پارکینگ,انباری,بالکن"
تهران‌سر,,۱۴۰۱,,۳٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,دپارتمان یاران,,,True,True,,قول‌نامه‌ای,جنوبی,,"پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شومینه"
زعفرانیه,۱۵۰,۱۴۰۱,۳,۳۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۳۳٬۳۳۳٬۰۰۰ تومان,دیپلمات زعفرانیه,۲ از ۷,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
اکباتان,۱۷۱,۱۳۷۱,۳,۲۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۶٬۹۵۹٬۰۰۰ تومان,,۵ از ۱۲,True,True,True,بیشتر از ۸,تک‌برگ,غربی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن ندارد,جنس کف پارکت لمینت,سرویس بهداشتی فرنگی,سرمایش فن کوئل,گرمایش فن کوئل"
سهروردی,۸۶,۱۳۹۷,۲,۱۰٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۷٬۴۴۲٬۰۰۰ تومان,املاک بزرگ سیبویه,۳,True,True,True,,,,,
پلیس,۷۰,۱۳۹۰,۲,۵٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۸۰٬۰۰۰٬۰۰۰ تومان,مشاورین املاک سعدی,۴,True,True,True,,,,,
پونک,۱۵۰,۱۴۰۱,۳,۲۲٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۸٬۶۶۷٬۰۰۰ تومان,,۳ از ۵,True,True,True,۱,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
قیطریه,۱۱۳,۱۴۰۰,۲,۱۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۲٬۷۴۳٬۰۰۰ تومان,بزرگ املاک نگین  شعبه اندرزگو,۳ از ۵,True,True,True,۲,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
سهروردی,۱۰۵,۱۳۸۸,۲,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰٬۰۰۰ تومان,املاک بزرگ سیبویه,۳,True,True,True,,,,,
پونک,۹۰,۱۳۸۵,۲,۹٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۲٬۲۲۲٬۰۰۰ تومان,قصر پونک,۵,True,True,True,,,,,
هروی,۱۲۰,۱۳۸۶,۲,۱۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۳٬۳۳۳٬۰۰۰ تومان,املاک بزرگ ماکان,۵,True,True,True,,,,,
مرزداران,۲۱۵,۱۴۰۰,۳,۳۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۶۷٬۴۴۲٬۰۰۰ تومان,سيب,۲,True,True,True,,,,,
شادمهر,۹۵,۱۴۰۲,۲,۱۰٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۶٬۳۱۶٬۰۰۰ تومان,فرتاک,۳,True,True,True,,,,,
سیدخندان,۱۰۵,۱۳۸۰,۲,۹٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۹۲٬۳۸۱٬۰۰۰ تومان,مسکن بزرگ الماس پلاس,همکف از ۴,,True,True,۲,تک‌برگ,,,"آسانسور ندارد,پارکینگ,انباری"
مرزداران,۱۵۸,۱۳۹۱,۳,۲۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۲۶٬۵۸۲٬۰۰۰ تومان,سيب,۴,True,True,True,,,,,
مرزداران,۸۶,۱۳۹۵,۲,۱۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۲۷٬۹۰۷٬۰۰۰ تومان,سيب,۵,True,True,True,,,,,
میدان ولیعصر,,,,۶۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۰٬۴۸۵٬۰۰۰ تومان,املاک خانه ي من (My Home),,,,,,,,,
نارمک,۴۷,۱۳۷۸,۱,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۶۳٬۸۳۰٬۰۰۰ تومان,,۲ از ۳,,,,۲,تک‌برگ,,بازسازی شده,"آسانسور ندارد,پارکینگ ندارد,انباری ندارد,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
شهرک راه‌آهن,۷۰,۱۳۹۰,۲,۴٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۶۷٬۱۴۳٬۰۰۰ تومان,شاهان,۶,True,True,True,,تک‌برگ,,,"آسانسور,پارکینگ"
اقدسیه,۹۲,۱۳۹۱,۲,۱۰٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۸٬۴۷۸٬۰۰۰ تومان,,۵ از ۵,True,True,True,۲,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن ندارد,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش از کف"
پیروزی,۶۶,۱۳۸۳,۱,۳٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۹۷۰٬۰۰۰ تومان,پایتخت,۳ از ۴,,,True,۱,تک‌برگ,جنوبی,,"آسانسور ندارد,پارکینگ ندارد,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی فرنگی,سرمایش کولر آبی,گرمایش بخاری"
اقدسیه,۱۲۰,۱۳۹۴,۳,۱۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۰٬۰۰۰٬۰۰۰ تومان,شاهین مسکن,۲,True,True,True,,,,,
مرزداران,۱۶۶,۱۳۹۳,۳,۲۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۰٬۶۰۲٬۰۰۰ تومان,,۲,True,True,True,,,,,
شهرک غرب,,۱۳۸۵,,۳۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۹۰٬۰۰۰٬۰۰۰ تومان,,,,True,True,,,,,
دارآباد,۱۴۵,۱۴۰۰,۳,۱۶٬۶۷۷٬۰۰۰٬۰۰۰ تومان,۱۱۵٬۰۱۴٬۰۰۰ تومان,املاک ۶۲قیطریه,۵,True,True,True,,,,,
دریان‌نو,۹۱,۱۳۹۰,۲,۹٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۵٬۴۹۵٬۰۰۰ تومان,,۳ از ۴,True,True,True,۱,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
آذربایجان,۶۴,۱۳۷۶,۱,۳٬۵۲۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۰۰۰٬۰۰۰ تومان,املاک کاندید,۲,,,,,,,,
کوی فردوس,۹۲,۱۳۹۸,۲,۱۰٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۷٬۳۹۱٬۰۰۰ تومان,,۴,True,True,True,,,,,
پاسداران,۱۴۰,۱۳۸۸,۳,۱۵٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۹٬۲۸۶٬۰۰۰ تومان,شاهین مسکن,۴,True,True,True,,,,,
دریاچه شهدای خلیج فارس,۱۱۰,۱۴۰۲,۲,۸٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۸۱٬۳۶۴٬۰۰۰ تومان,پلاکینو ۱,۱۰ از بیشتر از ۳۰,True,True,True,۸,قول‌نامه‌ای,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش فن کوئل,گرمایش فن کوئل"
تسلیحات,۳۶,۱۳۹۵,۱,۲٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۷۰٬۸۳۳٬۰۰۰ تومان,گروه بزرگ کوچ,۴,,True,True,,,,,
تهرانپارس غربی,۵۳,۱۳۹۰,۱,۴٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۷۹٬۲۴۵٬۰۰۰ تومان,گروه بزرگ کوچ,۱ از ۴,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر گازی,گرمایش شوفاژ"
امیرآباد,۱۲۵,۱۴۰۲,۲,۱۸٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۰٬۴۰۰٬۰۰۰ تومان,آلما۲۰۲,۴ از ۵,True,True,True,۲,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
جنت‌آباد شمالی,۶۰,۱۳۸۱,۲,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۷۱٬۶۶۷٬۰۰۰ تومان,پیج اینستاگرام املاک صاد,۴ از ۴,,,True,۲,تک‌برگ,شمالی,بازسازی شده,"آسانسور ندارد,پارکینگ ندارد,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش شوفاژ"
تهران‌سر,۷۱,۱۳۸۵,۲,۴٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۶۱٬۹۷۲٬۰۰۰ تومان,ایساتیس,۳,,True,True,,,,,
پیروزی,۶۳,۱۳۸۰,۱,۲٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۰۶۳٬۰۰۰ تومان,🏘آشیانه هشتم🏘,۳ از ۴,,,True,۱,تک‌برگ,شمالی,بازسازی شده,"آسانسور ندارد,پارکینگ ندارد,انباری,بالکن ندارد,جنس کف سرامیک,سرویس بهداشتی ایرانی,سرمایش کولر آبی,گرمایش بخاری"
نارمک,۹۱,۱۳۹۰,۲,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۸۷٬۹۱۲٬۰۰۰ تومان,گروه مشاورین املاک ایده نو نارمک,۵ از ۵,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش از کف"
آشتیانی,۱۴۸,۱۴۰۱,۳,۱۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۱٬۳۵۱٬۰۰۰ تومان,,۱ از ۵,True,True,True,۱,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش شوفاژ"
دریاچه شهدای خلیج فارس,۵۰,۱۴۰۱,۳,۱٬۱۴۵٬۰۰۰٬۰۰۰ تومان,۲۲٬۹۰۰٬۰۰۰ تومان,گروه مشاورین املاک صبا,۶,True,True,True,,,,,
