district_name,real_estate_area,real_estate_age,total_rooms,price,price_per_meter,real_estate_agencey,floor,elevator,parking,warehouse,units_per_floor,document,building_direction,unit_status,facilities
امانیه,۲۱۲,۱۳۸۵,۳,۴۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۲۰۰٬۰۰۰٬۰۰۰ تومان,ویرا,۱,True,True,True,,,,,
حشمتیه,۴۹,۱۳۹۷,۱,۳٬۱۲۰٬۰۰۰٬۰۰۰ تومان,۶۳٬۶۷۳٬۰۰۰ تومان,,۲,True,True,True,,,,,
جنت‌آباد مرکزی,۱۱۱,۱۳۹۴,۲,۹٬۳۲۰٬۰۰۰٬۰۰۰ تومان,۸۳٬۹۶۴٬۰۰۰ تومان,گروه مشاورین ملی,۳,True,True,True,,,,,
مبارک‌آباد بهشتی,۷۰,۱۳۹۸,۲,۲٬۲۰۵٬۰۰۰٬۰۰۰ تومان,۳۱٬۵۰۰٬۰۰۰ تومان,🔵(نیایش)(کهریزک در شهرری)🔵 باقرشهر،تهران،ری,۴,True,,True,,,,,
جنت‌آباد مرکزی,۱۰۳,۱۳۹۷,۲,۹٬۲۹۹٬۰۰۰٬۰۰۰ تومان,۹۰٬۲۸۲٬۰۰۰ تومان,املاک بزرگ آرتا,۳,True,True,True,,,,,
سعادت‌آباد,۱۵۰,۱۳۸۱,۳,۱۹٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۲۶٬۶۶۷٬۰۰۰ تومان,آلما وی آی پی,۵ از ۵,True,True,True,۱,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن"
چیتگر,۷۵,۱۴۰۲,۲,۸٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۴٬۶۶۷٬۰۰۰ تومان,,۲۲ از ۲۲,True,True,True,۸,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش از کف"
الهیه,۱۱۳,۱۴۰۱,۲,۱۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۲٬۷۴۳٬۰۰۰ تومان,دفتر فروش برج رونیکا,۸ از ۱۱,True,True,True,۸,تک‌برگ,,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
دروس,,,,۲۵۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۱۶٬۶۶۷٬۰۰۰ تومان,شایگان,,,,,,,,,
دارآباد,,۱۳۹۰,,۱۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۷۳٬۳۳۳٬۰۰۰ تومان,,,,True,True,,تک‌برگ,شمالی,,"پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر گازی,گرمایش شوفاژ"
