district_name,real_estate_type,real_estate_area,total_rooms,number_of_parking,real_estate_age,price,facilities,floor
بریانک,آپارتمان,40,1,0,19,2200000000,انباری,1
بلوار فردوس,آپارتمان,145,3,1,10,14500000000,"آسانسور,انباری,بالکن,پارکینگ مهمان,پاسیو",3
قیطریه,آپارتمان,180,3,2,0,47740000000,"آسانسور,انباری,بالکن,سالن اجتماعات,لابی,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,اتاق مستر",3
جنت آباد شمالی,آپارتمان,71,2,1,11,توافقی,"آسانسور,انباری,بالکن",2
شهران,آپارتمان,90,,0,13,8200000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی",
شهران,آپارتمان,80,2,1,12,7800000000,"آسانسور,انباری,بالکن",2
سازمان برنامه جنوبی,آپارتمان,61,2,1,19,4800000000,"انباری,بالکن",2
کارون,آپارتمان,32,1,0,30,1750000000,"انباری,بالکن",
نیاوران,آپارتمان,207,3,3,0,54200000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,باشگاه,اتاق مستر",3
پاسداران,آپارتمان,164,3,2,1,31200000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی,روف گاردن,اتاق مستر",3
ولنجک,آپارتمان,160,3,2,20,40000000000,"آسانسور,انباری,بالکن,اتاق مستر",
شهران,آپارتمان,106,2,1,6,8500000000,"آسانسور,انباری,بالکن",2
باغ فیض,آپارتمان,75,2,1,5,توافقی,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,نورپردازی,باشگاه,آلاچیق,پاسیو",2
محله,آپارتمان,110,2,1,17,69000000000,"آسانسور,انباری,بالکن",
الهیه,آپارتمان,176,3,1,16,32500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,لابی,استخر,اتاق مستر",3
اقدسیه,آپارتمان,146,3,2,0,25000000000,"آسانسور,انباری,بالکن,سالن اجتماعات,لابی,استخر,سونا,جکوزی,اتاق مستر",3
هروی,آپارتمان,92,2,1,15,11000000000,"آسانسور,انباری,سرایداری,لابی",2
جنت آباد جنوبی,آپارتمان,90,2,1,10,10000000000,"آسانسور,انباری,بالکن",2
مرزداران,آپارتمان,85,2,2,1,12800000000,"آسانسور,انباری,بالکن,سرایداری",2
جنت آباد مرکزی,آپارتمان,90,2,1,19,7250000000,"آسانسور,انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,80,2,1,8,7700000000,"آسانسور,انباری,بالکن",2
صادقیه,آپارتمان,123,3,1,7,11500000000,"آسانسور,انباری,بالکن,اعلام حریق,اتاق مستر",3
پونک,آپارتمان,53,1,1,7,7000000000,"آسانسور,انباری,بالکن",1
شهران,آپارتمان,154,3,1,16,10200000000,"انباری,بالکن",3
پونک,آپارتمان,62,1,1,18,5050000000,"انباری,بالکن",1
شهرک نفت,آپارتمان,80,2,1,17,7400000000,"آسانسور,انباری,بالکن,سرایداری",2
شهرک نفت,آپارتمان,80,2,1,3,8000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,جاروبرقی مرکزی",2
شهرک نفت,آپارتمان,60,5,1,1401,6200000000,"آسانسور,انباری,بالکن,سرایداری",
شهرزیبا,آپارتمان,136,3,1,17,9500000000,"انباری,بالکن",3
بلوار فردوس,آپارتمان,81,2,1,10,7800000000,"آسانسور,انباری,بالکن",2
کامرانیه,آپارتمان,185,3,2,0,64850000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,باشگاه,اتاق مستر",3
بلوار فردوس,آپارتمان,92,2,1,23,8200000000,"انباری,بالکن",2
فرمانیه,آپارتمان,190,3,2,0,57000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,جاروبرقی مرکزی,اتاق مستر,پاسیو",3
نیاوران,آپارتمان,200,3,2,0,65000000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,باشگاه,اتاق مستر",3
شهرک نفت,آپارتمان,80,2,2,5,9800000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق",2
بلوار فردوس,آپارتمان,73,1,0,0,6800000000,"آسانسور,انباری,بالکن",1
بلوار فردوس,آپارتمان,80,2,1,17,6000000000,"آسانسور,انباری,بالکن",
دروس,آپارتمان,280,3,2,0,52000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,استخر,سونا,جکوزی,روف گاردن,اتاق مستر",3
بلوار فردوس,آپارتمان,68,1,1,11,7500000000,"آسانسور,انباری,بالکن",1
شهرک غرب,آپارتمان,130,3,1,2,توافقی,"آسانسور,انباری",3
بلوار فردوس,آپارتمان,90,2,1,14,5400000000,"انباری,بالکن",2
رستم آباد و اختیاریه,آپارتمان,95,2,1,0,14000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,روف گاردن,اتاق مستر",2
شهرک غرب,آپارتمان,145,3,1,1,28300000000,"آسانسور,انباری,بالکن",3
شهرک غرب,آپارتمان,120,3,1,17,15750000000,"آسانسور,انباری,بالکن",3
جنت آباد مرکزی,آپارتمان,92,2,1,13,8600000000,"آسانسور,انباری,بالکن",2
بلوار فردوس,آپارتمان,67,1,1,19,5300000000,"انباری,بالکن",1
بلوار فردوس,آپارتمان,60,1,1,14,4900000000,"انباری,بالکن",1
بلوار فردوس,آپارتمان,89,2,1,17,7600000000,"آسانسور,انباری,بالکن,اعلام حریق,پارکینگ مهمان",2
بلوار فردوس,آپارتمان,100,2,1,16,8300000000,"آسانسور,انباری,بالکن",2
هروی,آپارتمان,68,1,1,18,7500000000,"آسانسور,انباری,سرایداری,لابی",1
شهرزیبا,آپارتمان,58,2,1,3,6700000000,"آسانسور,انباری,بالکن,نگهبانی,سالن اجتماعات,اعلام حریق,اطفا حریق,پاسیو",2
زعفرانیه,آپارتمان,255,3,1,12,47000000000,,
بلوار فردوس,آپارتمان,65,2,1,14,5500000000,"آسانسور,انباری,بالکن,سالن اجتماعات,اعلام حریق,اطفا حریق",2
بلوار فردوس,آپارتمان,80,2,1,17,7500000000,"آسانسور,انباری,بالکن",
مرزداران,آپارتمان,134,4,1,12,13400000000,"آسانسور,انباری,بالکن",4
بلوار فردوس,آپارتمان,95,2,1,10,توافقی,"آسانسور,انباری,بالکن",2
شهران,آپارتمان,100,2,1,8,9500000000,"آسانسور,انباری,بالکن",2
آرژانتین,آپارتمان,155,3,1,26,19000000000,"آسانسور,انباری,بالکن,اتاق مستر,پاسیو",3
جنت آباد شمالی,آپارتمان,155,3,1,0,15500000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق,اتاق مستر",3
بلوار فردوس,آپارتمان,68,2,1,16,6200000000,"آسانسور,انباری,بالکن,سرایداری",2
بلوار فردوس,آپارتمان,83,2,1,19,7450000000,"آسانسور,انباری",
پونک,آپارتمان,65,2,1,17,5500000000,"انباری,بالکن,پارکینگ مهمان",2
سازمان برنامه جنوبی,آپارتمان,72,2,1,14,7300000000,"آسانسور,انباری,بالکن,سرایداری",2
شهرک هما,آپارتمان,68,1,1,14,7000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,اعلام حریق,اطفا حریق,پارکینگ مهمان,نورپردازی",1
سعادت آباد,آپارتمان,87,2,1,18,توافقی,"آسانسور,انباری,بالکن,لابی",2
باغ فیض,آپارتمان,70,2,1,18,5500000000,"انباری,بالکن,سرایداری,اتاق مستر",2
بلوار فردوس,آپارتمان,100,2,1,12,6900000000,"آسانسور,انباری,بالکن",
قیطریه,آپارتمان,220,3,2,0,42000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,روف گاردن,اتاق مستر",3
سعادت آباد,آپارتمان,170,3,2,5,42500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,جاروبرقی مرکزی",3
پاسداران,آپارتمان,115,2,1,0,17500000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اتاق مستر",2
سعادت آباد,آپارتمان,138,3,1,5,توافقی,"آسانسور,انباری,بالکن,سرایداری,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,اتاق مستر",3
هفت چنار,آپارتمان,65,2,0,14,2730000000,"انباری,بالکن",2
بلوار فردوس,آپارتمان,70,2,1,14,5750000000,"آسانسور,انباری,بالکن",2
شهران,آپارتمان,80,2,1,19,6200000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی",2
هفت چنار,آپارتمان,62,2,1,13,3000000000,"آسانسور,انباری,بالکن",2
شهران,آپارتمان,108,3,1,8,10600000000,"آسانسور,انباری,بالکن",3
جنت آباد جنوبی,آپارتمان,80,2,1,16,7200000000,"آسانسور,انباری,بالکن",2
پونک,آپارتمان,130,2,1,4,14200000000,"آسانسور,انباری,بالکن",2
بریانک,آپارتمان,40,1,0,32,2300000000,,1
بریانک,آپارتمان,60,2,0,22,2700000000,بالکن,2
شهران,آپارتمان,75,2,1,19,6750000000,"انباری,بالکن",2
شهران,آپارتمان,140,3,1,11,14000000000,"آسانسور,انباری,بالکن,اتاق مستر",3
شهرزیبا,آپارتمان,60,1,1,10,4500000000,بالکن,1
جنت آباد جنوبی,آپارتمان,60,2,1,20,4500000000,"انباری,بالکن",2
هفت چنار,آپارتمان,40,1,0,12,2450000000,"آسانسور,انباری,بالکن",1
جنت آباد مرکزی,آپارتمان,100,2,1,11,10850000000,"آسانسور,انباری,بالکن",2
بلوار فردوس,آپارتمان,67,2,1,22,4950000000,"انباری,بالکن",2
ونک,آپارتمان,154,3,1,24,15400000000,"آسانسور,انباری",
پونک,آپارتمان,75,2,1,2,9000000000,"آسانسور,انباری,بالکن",2
هفت چنار,آپارتمان,50,2,1,14,3500000000,"آسانسور,انباری,بالکن",2
جیحون,آپارتمان,60,2,1,1,3600000000,"آسانسور,انباری,بالکن",2
هفت چنار,آپارتمان,70,2,2,12,3350000000,"آسانسور,انباری,بالکن",2
هفت چنار,آپارتمان,50,2,1,10,2900000000,"آسانسور,انباری,بالکن",2
هفت چنار,آپارتمان,62,4,1,13,3500000000,"انباری,بالکن",
هفت چنار,آپارتمان,45,2,0,13,2900000000,"انباری,بالکن",
بلوار فردوس,آپارتمان,66,2,1,18,5900000000,"انباری,بالکن",2
ظفر,آپارتمان,116,3,1,22,12300000000,"انباری,بالکن",3
چیتگر,آپارتمان,127,2,1,1,8500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,جاروبرقی مرکزی,اتاق مستر",2
شهران,آپارتمان,154,3,1,17,10100000000,"انباری,بالکن",3
هفت چنار,آپارتمان,39,1,0,18,1850000000,,1
بلوار فردوس,آپارتمان,55,2,1,16,5000000000,"آسانسور,انباری,بالکن",
بلوار فردوس,آپارتمان,72,2,1,9,7700000000,"آسانسور,انباری,بالکن",2
هفت چنار,آپارتمان,55,2,0,14,2200000000,"انباری,بالکن",2
هروی,آپارتمان,118,3,1,3,17300000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی,استخر,سونا,جکوزی,اتاق مستر",
سازمان برنامه شمالی,آپارتمان,80,2,1,18,7500000000,"انباری,بالکن,اعلام حریق,اطفا حریق",2
هفت چنار,آپارتمان,45,1,1,7,2950000000,,1
هروی,آپارتمان,138,3,1,20,15500000000,"آسانسور,انباری,بالکن,سرایداری,لابی",
هروی,آپارتمان,192,3,2,18,23400000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اتاق مستر",
هروی,آپارتمان,91,2,2,18,10900000000,"آسانسور,انباری,سرایداری,لابی",
شهرزیبا,آپارتمان,130,3,1,0,15600000000,"آسانسور,انباری,بالکن",3
شهران,آپارتمان,70,2,1,9,7000000000,"آسانسور,انباری,بالکن",2
بهار,آپارتمان,65,1,1,8,7500000000,"آسانسور,انباری,بالکن",1
جنت آباد مرکزی,آپارتمان,50,2,1,12,5800000000,"آسانسور,انباری,بالکن",2
اباذر,آپارتمان,92,2,1,14,8200000000,"آسانسور,انباری,بالکن",2
فرمانیه,آپارتمان,194,3,0,0,58200000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,نورپردازی,باشگاه,آلاچیق,جاروبرقی مرکزی,اتاق مستر,پاسیو",
بریانک,آپارتمان,44,1,0,3,3000000000,"آسانسور,انباری",1
هفت چنار,آپارتمان,65,2,1,7,3500000000,"انباری,بالکن",
هفت چنار,آپارتمان,70,2,1,10,3500000000,"آسانسور,انباری",2
هفت چنار,آپارتمان,45,1,1,10,2700000000,"آسانسور,انباری,بالکن",
سعادت آباد,آپارتمان,85,2,1,15,12500000000,,2
بلوار فردوس,آپارتمان,47,1,1,16,5200000000,"آسانسور,انباری,بالکن",1
قیطریه,آپارتمان,150,3,1,12,22000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اتاق مستر",
هفت چنار,آپارتمان,50,2,0,25,2700000000,"انباری,بالکن",
بلوار فردوس,آپارتمان,98,2,1,18,توافقی,"آسانسور,انباری,بالکن,سرایداری",2
هفت چنار,آپارتمان,45,1,1,26,2800000000,"انباری,بالکن",1
هروی,آپارتمان,179,4,1,20,20700000000,"آسانسور,انباری,بالکن,سرایداری",
سلسبیل(رودکی),آپارتمان,62,1,0,30,2850000000,"انباری,بالکن",1
هروی,آپارتمان,112,2,2,12,14500000000,"آسانسور,انباری,بالکن,سرایداری,لابی",
هفت چنار,آپارتمان,50,1,0,23,3000000000,"انباری,بالکن",1
نواب,آپارتمان,62,,0,21,3000000000,,
جیحون,آپارتمان,45,,1,16,توافقی,"انباری,بالکن",
جیحون,آپارتمان,39,1,0,8,2450000000,"آسانسور,انباری",1
بلوار فردوس,آپارتمان,50,1,1,16,4500000000,"آسانسور,انباری,بالکن,سرایداری,اعلام حریق,اطفا حریق",1
هروی,آپارتمان,190,3,2,2,27500000000,"آسانسور,انباری,بالکن,سرایداری,لابی",
هفت چنار,آپارتمان,45,1,1,22,2800000000,"آسانسور,انباری,بالکن",1
هفت چنار,آپارتمان,50,2,1,25,2900000000,"آسانسور,انباری,بالکن",2
جیحون,آپارتمان,50,2,1,11,3000000000,,2
جردن,آپارتمان,109,2,0,32,10500000000,"آسانسور,انباری",2
شهران,آپارتمان,127,3,1,8,13500000000,"آسانسور,انباری,بالکن,اعلام حریق,اتاق مستر",3
آذربایجان,آپارتمان,40,1,0,1,2850000000,"آسانسور,انباری,بالکن",1
شهران,آپارتمان,140,3,1,10,توافقی,"آسانسور,انباری,بالکن,اعلام حریق,اتاق مستر",3
شهرزیبا,آپارتمان,94,2,1,16,7000000000,"انباری,بالکن",2
شهران,آپارتمان,75,2,1,1,8000000000,"آسانسور,انباری,بالکن",2
شهرزیبا,آپارتمان,108,2,1,19,9600000000,"انباری,بالکن",2
شهران,آپارتمان,96,2,1,20,توافقی,"انباری,بالکن",2
باغ فیض,آپارتمان,87,2,1,4,10850000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق",2
باغ فیض,آپارتمان,93,2,1,12,10230000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق",2
بلوار فردوس,آپارتمان,90,2,1,6,9000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,لابی,پارکینگ مهمان",2
شهرک غرب,آپارتمان,150,3,2,1,31500000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,اتاق مستر",3
هفت چنار,آپارتمان,60,2,1,8,3750000000,"آسانسور,انباری,بالکن",2
شهرزیبا,آپارتمان,52,1,1,11,5000000000,"آسانسور,انباری,بالکن",1
شهرک غرب,آپارتمان,130,3,1,18,29500000000,"آسانسور,انباری,بالکن",3
هفت چنار,آپارتمان,60,2,1,10,3400000000,"آسانسور,انباری,بالکن",2
هفت چنار,آپارتمان,56,2,0,25,3600000000,"انباری,بالکن",
هفت چنار,آپارتمان,50,1,1,12,توافقی,"آسانسور,انباری,بالکن",1
هروی,آپارتمان,185,3,2,10,26800000000,"آسانسور,انباری,بالکن,سرایداری",
جیحون,آپارتمان,45,1,1,7,3000000000,"انباری,بالکن",
هفت چنار,آپارتمان,56,1,0,7,3700000000,"آسانسور,انباری,بالکن",
میرداماد,آپارتمان,163,3,1,18,23500000000,"آسانسور,انباری,بالکن",3
هفت چنار,آپارتمان,60,2,1,8,3500000000,,2
شهرزیبا,آپارتمان,80,2,1,8,7500000000,"آسانسور,انباری,بالکن",2
بلوار فردوس,آپارتمان,60,1,1,20,5600000000,"انباری,بالکن",1
شهران,آپارتمان,128,3,1,10,9000000000,"انباری,بالکن",
سعادت آباد,آپارتمان,180,3,1,3,15500000000,"آسانسور,انباری",3
سعادت آباد,آپارتمان,298,3,3,0,95360000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,نورپردازی,آلاچیق,جاروبرقی مرکزی,اتاق مستر",3
بلوار فردوس,آپارتمان,75,2,1,15,6000000000,"آسانسور,انباری,بالکن",2
جیحون,آپارتمان,53,2,0,11,توافقی,,
جیحون,آپارتمان,53,1,0,14,2850000000,"انباری,بالکن",1
اباذر,آپارتمان,65,2,1,14,6500000000,"آسانسور,انباری,بالکن,اتاق مستر",2
جیحون,آپارتمان,58,,0,12,3400000000,"انباری,بالکن",
جنت آباد جنوبی,آپارتمان,90,2,1,11,10000000000,"آسانسور,انباری,بالکن",2
پونک,آپارتمان,85,2,1,6,8500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,پارکینگ مهمان",2
جنت آباد جنوبی,آپارتمان,100,2,1,13,10800000000,"آسانسور,انباری,بالکن",2
جیحون,آپارتمان,58,2,0,9,3100000000,"انباری,بالکن",
جیحون,آپارتمان,56,2,1,13,3050000000,"انباری,بالکن",2
جیحون,آپارتمان,55,1,0,13,2950000000,"انباری,بالکن",1
شهران,آپارتمان,154,3,1,19,10200000000,"انباری,بالکن",3
شهران,آپارتمان,92,1,1,13,7800000000,"آسانسور,انباری,بالکن,نگهبانی,لابی,پارکینگ مهمان",1
بلوار فردوس,آپارتمان,80,2,1,9,7000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,اتاق مستر",2
بلوار فردوس,آپارتمان,110,2,1,19,9700000000,"آسانسور,انباری,بالکن",2
شهران,آپارتمان,128,3,1,16,12300000000,,3
شهران,آپارتمان,85,1,1,4,7100000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,پاسیو",1
جیحون,آپارتمان,54,1,0,16,2880000000,"انباری,بالکن",1
سی متری جی,آپارتمان,72,2,1,5,3400000000,"آسانسور,انباری,بالکن",2
سازمان برنامه جنوبی,آپارتمان,85,2,1,7,8000000000,"آسانسور,انباری,سرایداری,نگهبانی",2
بلوار فردوس,آپارتمان,43,1,1,4,4700000000,"آسانسور,انباری,نگهبانی,اعلام حریق,اطفا حریق,نورپردازی,جاروبرقی مرکزی",1
بلوار فردوس,آپارتمان,72,2,1,13,7600000000,"انباری,بالکن",2
جنت آباد مرکزی,آپارتمان,55,1,1,10,توافقی,"آسانسور,انباری,بالکن",1
بلوار فردوس,آپارتمان,65,2,1,17,4600000000,"آسانسور,انباری,بالکن",2
بلوار فردوس,آپارتمان,75,2,1,19,5100000000,"آسانسور,انباری,بالکن",2
سی متری جی,آپارتمان,85,2,1,5,4200000000,"آسانسور,انباری,بالکن",2
سازمان برنامه جنوبی,آپارتمان,92,2,1,12,8900000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی",2
پونک,آپارتمان,62,1,1,17,5200000000,"انباری,بالکن",1
شهرزیبا,آپارتمان,115,2,1,7,9100000000,"آسانسور,انباری,بالکن",2
پونک,آپارتمان,50,1,1,5,6500000000,"آسانسور,انباری,بالکن",1
شهران,آپارتمان,65,2,1,5,6000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات",2
ولنجک,آپارتمان,320,3,2,16,59900000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,اتاق مستر",3
جیحون,آپارتمان,57,2,1,8,3400000000,"آسانسور,بالکن",2
بلوار فردوس,آپارتمان,85,2,1,13,توافقی,"آسانسور,انباری,بالکن",2
بلوار فردوس,آپارتمان,79,2,1,9,7600000000,"آسانسور,انباری,بالکن",2
محمودیه,آپارتمان,250,,0,,47500000000,,
باغ فیض,آپارتمان,90,2,0,3,10000000000,"آسانسور,انباری,بالکن,روف گاردن,اعلام حریق,اطفا حریق,نورپردازی",2
سی متری جی,آپارتمان,68,2,0,20,3400000000,"انباری,بالکن",2
محمودیه,آپارتمان,300,4,2,7,75000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,اتاق مستر,پاسیو",4
باغ فیض,آپارتمان,92,2,1,9,10500000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق",2
جی,آپارتمان,45,1,1,11,2700000000,,1
سی متری جی,آپارتمان,58,1,1,10,3350000000,"انباری,بالکن",
اباذر,آپارتمان,90,2,1,9,10000000000,"آسانسور,انباری,بالکن",2
سی متری جی,آپارتمان,69,2,0,20,2700000000,"انباری,بالکن",2
سی متری جی,آپارتمان,66,2,1,13,2800000000,"انباری,بالکن",2
سی متری جی,آپارتمان,85,2,1,6,4300000000,"آسانسور,انباری,بالکن",2
شهران,آپارتمان,75,2,1,16,6800000000,"انباری,بالکن",2
باغ فیض,آپارتمان,82,2,1,17,7800000000,"آسانسور,انباری,بالکن",2
بریانک,آپارتمان,41,,0,6,2100000000,"آسانسور,انباری,بالکن",
شهرزیبا,آپارتمان,60,1,1,4,6200000000,"آسانسور,انباری,بالکن,نگهبانی",1
بلوار فردوس,آپارتمان,144,3,3,10,14800000000,"آسانسور,انباری,بالکن",3
زعفرانیه,آپارتمان,260,3,1,12,47000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,اتاق مستر,پاسیو",3
بلوار فردوس,آپارتمان,80,2,1,20,6200000000,"انباری,بالکن",2
جیحون,آپارتمان,53,1,0,5,3200000000,"انباری,بالکن",1
شهران,آپارتمان,117,2,1,0,11200000000,"آسانسور,انباری,بالکن",2
جیحون,آپارتمان,55,1,0,19,3550000000,بالکن,1
بلوار فردوس,آپارتمان,67,2,1,10,7500000000,"آسانسور,انباری,بالکن",2
دروس,آپارتمان,110,2,2,0,20000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اتاق مستر",
پونک,آپارتمان,53,1,1,6,6500000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اطفا حریق",1
سلسبیل(رودکی),آپارتمان,60,2,1,12,3600000000,"انباری,بالکن",2
هفت چنار,آپارتمان,57,1,1,22,3700000000,آسانسور,1
هفت چنار,آپارتمان,58,1,1,25,3700000000,"آسانسور,انباری,بالکن",1
شهرزیبا,آپارتمان,63,2,1,5,6600000000,"آسانسور,انباری,بالکن",2
شهران,آپارتمان,115,2,1,4,13000000000,"آسانسور,انباری,بالکن",2
هفت چنار,آپارتمان,50,2,0,22,3200000000,"انباری,بالکن",
فرمانیه,آپارتمان,193,3,2,0,57900000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,جاروبرقی مرکزی,اتاق مستر,پاسیو",3
بلوار فردوس,آپارتمان,40,1,1,20,3800000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق",1
زعفرانیه,آپارتمان,125,,0,,20000000000,,
هفت چنار,آپارتمان,54,1,1,13,3000000000,"آسانسور,انباری,بالکن",1
زعفرانیه,آپارتمان,93,,0,,19000000000,,
یوسف آباد,آپارتمان,102,2,1,4,14280000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق",2
پاسداران,آپارتمان,200,3,2,5,32000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,استخر,سونا,جکوزی,اتاق مستر",
جنت آباد مرکزی,آپارتمان,70,2,1,13,7500000000,"آسانسور,انباری,بالکن",2
زعفرانیه,آپارتمان,198,3,2,12,45000000000,"آسانسور,انباری,سرایداری,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,لابی من,نورپردازی,اتاق مستر",3
خانی آباد,آپارتمان,59,1,1,20,1850000000,,1
ولنجک,آپارتمان,145,3,2,2,30000000000,"آسانسور,انباری,بالکن,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,اتاق مستر",3
شهرک غرب,آپارتمان,120,2,1,1,25200000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی,اعلام حریق,لابی من,اتاق مستر",2
ولنجک,آپارتمان,250,4,3,2,50000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,پارکینگ مهمان,اتاق مستر",4
زعفرانیه,آپارتمان,115,3,2,4,25300000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,لابی من,اتاق مستر",3
شهران,آپارتمان,65,2,1,13,7000000000,"آسانسور,انباری,بالکن,سرایداری",2
شهرزیبا,آپارتمان,94,2,1,19,7000000000,"انباری,بالکن",2
سلسبیل(رودکی),آپارتمان,45,1,1,23,2600000000,"انباری,بالکن",1
شهرزیبا,آپارتمان,108,3,1,18,8200000000,"آسانسور,انباری,بالکن",3
هفت چنار,آپارتمان,64,1,1,25,3700000000,"انباری,بالکن",
شهرزیبا,آپارتمان,90,2,1,19,6300000000,"انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,77,2,2,16,5200000000,"آسانسور,انباری,بالکن",2
سعادت آباد,آپارتمان,172,3,2,0,48160000000,"آسانسور,انباری,بالکن,سرایداری,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,نورپردازی,جاروبرقی مرکزی,اتاق مستر",3
رستم آباد و اختیاریه,آپارتمان,150,3,1,12,21000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,استخر,سونا,جکوزی,اتاق مستر",
