district_name,real_estate_type,real_estate_area,total_rooms,number_of_parking,real_estate_age,price,facilities,floor
رستم آباد و اختیاریه,آپارتمان,254,4,3,0,34500000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اتاق مستر",4
زعفرانیه,آپارتمان,250,4,2,5,55000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,لابی من,باشگاه,اتاق مستر",4
جنت آباد مرکزی,آپارتمان,66,2,1,11,6500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,اعلام حریق,اطفا حریق,پارکینگ مهمان,نورپردازی",2
سعادت آباد,آپارتمان,80,2,1,14,10800000000,"انباری,بالکن",2
شهرک غرب,آپارتمان,200,3,2,1,32000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق",3
دروس,آپارتمان,175,3,2,3,27000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اتاق مستر",3
تهرانپارس,آپارتمان,55,1,0,28,4500000000,,1
هروی,آپارتمان,210,3,2,2,32000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,اتاق مستر",3
ونک,آپارتمان,160,2,1,21,22000000000,"آسانسور,انباری",2
شهرزیبا,آپارتمان,60,2,0,17,4300000000,"انباری,بالکن",2
طرشت,آپارتمان,72,2,1,10,6600000000,"آسانسور,انباری,بالکن",2
جیحون,آپارتمان,65,1,0,10,3500000000,"آسانسور,انباری,بالکن",1
باغ فیض,آپارتمان,87,2,1,4,8200000000,"آسانسور,انباری,بالکن",2
چیتگر,آپارتمان,240,2,2,10,45000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,جکوزی,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,جاروبرقی مرکزی,اتاق مستر",2
گیشا,آپارتمان,82,2,1,13,8500000000,"آسانسور,انباری,بالکن",2
